TRANSACTION_ID,CUSTOMER_ID,PRODUCT_ID,TRANSACTION_DATE,AMOUNT,QUANTITY,STATUS,REGION,CURRENCY,CREATED_AT
509d1323-10ee-460e-9998-b38506fce1f6,CUST-0011,PROD-0030,2023-10-31,4514.22,50,CANCELLED,South Asia,EUR,2026-05-28 14:19:57
0ffa974d-5e8d-4584-b276-f4e0ebecc22e,CUST-0043,PROD-0016,2022-09-10,3330.73,35,REFUNDED,North America,EUR,2026-05-28 14:19:57
baf379b1-5021-4b0f-8bf5-dfc1ee3fb965,CUST-0015,PROD-0030,2022-05-13,3223.49,25,REFUNDED,APAC,GBP,2026-05-28 14:19:57
a012e0aa-47a8-4752-a9b9-79c3b5319abd,CUST-0015,PROD-0008,2023-06-15,587.29,6,COMPLETED,North America,EUR,2026-05-28 14:19:57
d8035c8e-62d1-4f62-b224-95f5188a99b1,CUST-0048,PROD-0019,2023-01-21,3725.64,8,CANCELLED,South Asia,EUR,2026-05-28 14:19:57
550ca2cb-5a9d-41c0-8f80-04a38cb20c71,CUST-0025,PROD-0019,2022-01-04,1560.89,38,PENDING,Middle East,GBP,2026-05-28 14:19:57
40e8f268-f842-4df1-b124-bf8b4aa2e192,CUST-0021,PROD-0025,2024-01-18,3989.62,9,PENDING,North America,GBP,2026-05-28 14:19:57
ddc27311-a3f7-47f3-aa35-a0587eb8f5a3,CUST-0001,PROD-0018,2024-08-01,1586.47,19,PENDING,Middle East,GBP,2026-05-28 14:19:57
90497f0d-c1cb-4c49-aec0-1a0c6cd6eeac,CUST-0010,PROD-0020,2023-08-04,737.89,43,COMPLETED,APAC,EUR,2026-05-28 14:19:57
9c327bd1-69a3-4c01-8fb8-2dccd4001210,CUST-0020,PROD-0017,2022-09-10,1374.53,46,REFUNDED,South Asia,GBP,2026-05-28 14:19:57
384dd9fb-4413-4ec3-8255-d195814eb673,CUST-0019,PROD-0023,2024-02-11,303.47,22,PENDING,South Asia,INR,2026-05-28 14:19:57
a202175a-113c-4645-8de0-ed577ab8e8b9,CUST-0045,PROD-0024,2022-04-18,4616.56,50,PENDING,Middle East,GBP,2026-05-28 14:19:57
e014c0b2-a8a9-4d2f-a440-cc8b3bf4dc6e,CUST-0020,PROD-0027,2022-11-23,4955.41,36,REFUNDED,Europe,GBP,2026-05-28 14:19:57
63e785f7-9707-44d0-93dd-c4742b03a80d,CUST-0044,PROD-0016,2023-12-15,3790.99,26,COMPLETED,APAC,EUR,2026-05-28 14:19:57
